"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Palau","PW",2022,7,0,0,0,0,0,,,7,7,0,7,7,0,0,2,0,220,0,0,1,,,0,0,,0,1,0,0,1,2,,0,0,0,,,0,1,,0,0,0,1,2,4,,1,60,0,,,,,,7,7,0,0,0,0,0,0,0,,0,,0,,0,,0,7,0,0,0,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,7,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Panama","PA",2022,955,324,246,75,30,15,110,,1525,1645,230,1755,955,120,0,53,1,221,36,,,37,,,,168,277,177,141,126,108,997,,30,,,28,,,,101,103,99,87,64,63,517,,131,60,772,,,,,,1712,1712,35,35,0,1,4,4,0,,0,,1,30,1,9,39,589,73,26,9,,,234,66,12,4,26,9,2,2,18,4,0,0,0,0,0,0,0,0,4,1,1579,332,324,1,131,6,6,317,,,720,19001,578,2084,,,0,,,,,,,,,,,
"Papua New Guinea","PG",2022,7038,11506,15321,389,516,470,1404,,33865,35240,2779,36644,7025,672,13,,1,221,2059,,,2512,,,,3611,3709,2469,2092,1547,625,14053,33,1667,,,2346,,,,3454,3582,2278,1700,1136,388,12538,32,8584,60,11825,,,,,,36644,36644,656,549,18,76,9,9,0,,0,,1,377,0,,,,,,,,,,,,,,,,,144,9,0,0,0,2,7,0,0,0,0,0,22351,1237,1082,,,,,,,,,,,,,,0,,,,,,,,,,,
"Paraguay","PY",2022,2051,584,273,289,45,8,329,,2908,3250,671,3579,2051,528,0,58,1,220,35,12,29,,,94,309,,713,436,299,267,251,2369,0,18,20,17,,,62,92,,184,123,101,86,102,750,0,131,60,2352,,,,,,3562,3368,15,14,2,2,0,0,0,,0,,1,16,0,,16,1735,472,4,2,,,741,225,0,3,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2776,224,205,1,88,2,0,,72,1496,25,11891,8,1496,,,0,,,,,,,,,,,
"Peru","PE",2022,16787,4173,4583,2066,531,199,1202,,25543,28339,3998,29541,16787,2962,0,431,1,220,153,119,272,,,1347,2204,,4558,2729,2123,1937,2516,17414,0,146,122,288,,,846,1132,,2325,1504,1258,1103,1657,9825,0,1100,62,,6002,1202,1162,,,27055,26797,1787,1773,557,71,142,137,0,,0,,1,136,0,,2147,12331,2264,992,425,1477,138,12331,2264,1237,429,992,425,653,319,1052,110,0,1,0,1,42,2,0,2,62,1,26212,1707,910,1,938,20,9,,,,,,,,,,0,,,,,,,,,,,
"Philippines","PH",2022,188243,184265,7851,19400,35589,542,9097,,380359,435890,64628,444987,188243,24366,0,74,1,220,7600,6404,4029,,,12213,21540,,42889,45223,52135,48364,41755,264119,1659,6086,5110,3071,,,7798,12778,,22616,20876,23235,24136,25508,136947,865,32300,60,332418,,,,,,435143,399283,7494,7456,481,95,93,93,0,,1,80,1,2880,1,5070,8030,172077,23300,4889,4930,18531,3239,591,908,410,729,585,895,407,719,1491,55,,,,,,,,,,1,264506,2202,2202,1,1585,4,4,,,,,,,,,,0,,,,,,,,,,,
"Poland","PL",2022,3065,525,152,199,44,1,274,32,3742,3986,518,4260,3065,437,0,291,1,220,7,6,4,,,31,64,,286,551,678,685,606,2901,0,5,6,13,,,27,42,,148,179,142,164,342,1044,0,41,62,,1604,0,52,,,4160,0,89,0,0,0,11,0,0,,0,,1,51,0,,,2620,346,61,33,,,2618,345,161,44,61,32,56,31,42,10,0,0,0,1,3,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,519517,36710,440
"Portugal","PT",2022,829,138,382,37,4,17,35,8,1349,1407,93,1442,829,59,0,419,1,220,12,8,4,,,22,39,,137,128,176,189,208,899,1,13,3,10,,,15,25,,86,65,77,56,133,457,0,50,62,,422,20,112,,,1432,1430,10,5,0,0,0,0,0,,0,,1,0,1,5,5,399,20,8,2,,,399,20,32,2,8,2,7,2,5,0,0,0,0,0,0,0,0,0,0,1,958,101,,,,,,,,,,,,,,,0,,,,,,,,,,,59
"Puerto Rico","PR",2022,19,0,2,0,0,0,1,,21,21,1,22,19,0,0,4,1,220,0,0,0,,,0,1,,3,1,1,3,7,16,0,0,0,0,,,0,0,,1,0,1,0,3,5,0,0,60,10,,,,,,22,21,0,0,0,0,0,0,0,,0,,0,,0,,0,19,0,0,0,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,1,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Qatar","QA",2022,369,35,468,0,0,0,0,,872,872,0,872,369,0,0,855,,221,0,,,1,,,,58,253,193,106,29,7,646,0,0,,,2,,,,19,103,69,22,7,3,223,0,3,60,837,,,,,,860,,11,11,0,0,1,1,0,,1,1,1,11,0,,12,369,0,12,0,,,369,,11,,12,,11,,9,1,,,,,,,,,,1,872,3,3,,,,,,,,,,,,,,0,,,,,,,,,,,
