"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Sao Tome and Principe","ST",2022,87,12,22,2,0,0,,,121,123,2,123,87,2,0,1,1,220,2,1,1,,,8,5,,11,10,21,5,3,63,0,2,1,1,,,5,7,,4,12,11,8,5,52,0,8,60,123,,,,,,123,123,1,4,0,0,4,0,0,,0,,0,,1,4,1,121,2,4,0,,,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123,12,12,,,,,,,,,,,,,,1,10,2022,9,100,8,2022,7,100,,,
"Saudi Arabia","SA",2022,1889,66,554,53,18,7,87,,2509,2587,165,2674,1868,55,21,1446,1,221,14,,,14,,,,257,534,373,285,174,162,1785,0,9,,,31,,,,150,236,162,76,59,51,734,0,68,60,1351,,,,,,2647,2647,27,16,0,0,0,0,0,,0,,1,16,0,,16,1583,49,24,3,,,1518,49,29,0,24,3,16,0,0,0,0,0,0,0,0,0,0,0,0,1,2284,37,37,,,,,37,22,1065,,,,,,,0,,,,,,,,,,,
"Senegal","SN",2022,10871,792,1609,781,0,0,635,,13272,14053,1416,14688,10871,1311,0,0,1,221,59,,,198,,,,2115,2626,2094,1270,777,585,9467,0,52,,,204,,,,1332,1117,706,216,376,326,4073,0,513,60,5702,,,,,,5619,5536,83,81,0,1,3,0,3,,3,,3,,1,76,5,4448,1311,43,39,,,14,14,9,7,11,13,9,7,26,3,0,0,0,0,0,0,3,0,0,1,14053,538,455,,,,,406,223,5096,,,,,,,0,,,,,,,,,,,
"Serbia","RS",2022,552,293,171,44,8,6,9,1,1016,1074,67,1083,366,31,0,4,1,220,9,1,8,11,,4,14,45,82,72,111,139,142,609,,9,6,2,8,,7,10,30,57,55,64,63,125,411,,54,62,,11,0,1,,,460,460,2,2,0,0,0,0,0,,0,,0,,1,2,2,125,10,2,0,,,125,10,125,1,2,0,2,0,0,0,,,,,,,,,,1,39,2,2,,,,,2,,,,,,,,,0,,,,,,,,,110839,,6
"Seychelles","SC",2022,9,2,5,0,0,0,0,,16,16,0,16,9,0,0,4,1,220,0,0,0,,,0,1,,3,4,0,1,3,12,0,0,0,0,,,0,0,,2,2,0,0,0,4,0,0,60,16,,,,,,14,14,1,1,0,0,0,0,0,,0,,0,,1,1,0,9,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,,,,,2,,,,,,,1,1,0,,,,,,,,,,,
"Sierra Leone","SL",2022,12524,5156,1155,318,116,18,125,,18835,19287,577,19412,,,,,1,221,417,,,320,,,,1604,2900,2641,2003,1030,794,10972,0,406,,,331,,,,1339,1839,1593,1060,577,425,6833,0,1474,0,,,,,,,19206,198,206,198,0,7,0,0,0,,1,15,1,91,1,89,198,,,,,,,,,,,,,,,,,,,,,,,,,,1,18922,2515,2506,,,,,2479,,,,,,,,,0,,,,,,,,,,,
"Singapore","SG",2022,1047,1181,283,72,69,22,7,,2511,2674,170,2681,1047,72,0,1611,1,220,1,0,0,,,14,76,,317,334,227,259,497,1724,0,1,0,1,,,7,28,,283,237,117,103,172,947,0,3,60,2473,,,,,,2658,2555,17,16,0,0,6,6,0,,1,2,0,,1,1,22,948,42,21,2,,,946,42,62,3,21,2,19,2,23,6,0,0,0,0,0,0,0,2,4,1,2171,21,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Sint Maarten (Dutch part)","SX",2022,2,0,0,0,0,0,0,,2,2,0,2,0,0,2,2,,221,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,0,,,,,,,2,2,0,0,0,0,0,0,1,2,0,,3,,0,,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Slovakia","SK",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6,5,6
"Slovenia","SI",2022,54,1,13,3,1,0,2,0,68,72,6,74,54,5,0,31,1,220,0,0,1,,,1,3,,3,5,4,7,17,40,0,1,0,0,,,0,1,,4,5,2,3,15,30,0,2,62,,54,0,8,,,73,70,0,0,0,0,1,1,,,,,,,,,,53,5,0,1,,,53,5,2,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,57,0,1,,,,,,,,,,,,,,0,,,,,,,,,,,4
"Solomon Islands","SB",2022,173,64,94,7,4,0,1,,331,342,12,343,173,7,0,0,0,221,8,,,10,,,,39,27,27,17,19,23,152,,6,,,11,,,,46,33,26,26,20,5,156,,35,62,,180,68,94,,,,,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Somalia","SO",2022,9130,4462,4776,59,22,9,41,,18368,18458,131,18499,9130,90,0,0,1,221,950,,,1005,,,,2102,1905,1494,1199,932,922,8554,0,799,,,1021,,,,1428,1353,1172,915,692,569,6129,0,3775,60,6687,,,,,,18154,18154,345,310,0,24,2,2,0,,0,,1,125,1,185,2,6597,90,256,80,59,45,204,,120,,162,,116,,205,1,0,0,0,0,0,0,1,0,0,0,16483,127,88,,,,,,,,,,,,,,0,,,,,,,,,,,
"South Africa","ZA",2022,119637,53835,24146,11618,3765,1294,10326,,197618,214295,27003,224621,116349,18492,3288,,1,220,5615,1392,1363,,,4105,7587,,27924,34714,22612,13209,6852,117003,0,5005,1403,1756,,,4892,7572,,22295,20149,12497,7622,5730,80757,1,16534,60,157756,,,,,,217031,156699,6781,6781,159,243,809,711,0,,1,39,1,2584,1,5028,7651,116349,16566,2479,1685,10691,1035,2511,1728,1459,986,2479,1685,1427,943,684,445,3,4,0,79,139,10,2,12,196,1,187871,102254,90363,1,9002,2356,2077,,,,,,288342,466485,204162,414353,0,,,,,,,,,,,
"South Sudan","SS",2022,9330,6270,3401,430,145,83,825,,19001,19659,1483,20484,9330,823,0,0,1,221,842,,,917,,,,2045,3479,2362,1568,867,696,11017,0,621,,,1030,,,,999,1271,1147,887,577,351,5232,0,3410,0,,,,,,,20484,20484,170,165,0,1,170,165,0,,0,,1,1,1,165,0,5598,823,108,62,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18776,2177,2051,,,,,,,,,,,,,,0,,,,,,,,,,,
"Spain","ES",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sri Lanka","LK",2022,4221,1558,1995,231,64,52,221,,7774,8121,568,8342,4211,395,10,9,,221,20,,,56,,,,278,494,814,1119,1194,1171,5070,,34,,,75,,,,418,403,362,503,574,606,2866,,185,60,3279,,,,,,8326,8326,16,13,0,1,0,0,0,,0,,1,3,1,10,13,1380,291,15,2,,,1380,2,7,0,15,2,3,0,,,,,,,,,,,,0,6686,40,24,,,,,,,,,,,,,,0,,,,,,,,,,,
"Sudan","SD",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,
"Suriname","SR",2022,98,10,12,3,1,0,3,,120,124,7,127,98,5,0,4,1,221,0,,,1,,,,6,12,20,27,17,7,89,0,1,,,0,,,,9,5,7,7,5,0,33,0,2,60,118,,,,,,117,111,7,7,0,0,0,0,0,,0,,0,,0,,0,95,4,5,2,,,36,2,2,0,4,2,2,0,0,0,,,,,,,,,,1,117,17,9,1,2,2,0,,,,,,,,,,0,,,,,,,,,,,
"Sweden","SE",2022,231,12,105,4,1,4,21,0,348,357,30,378,210,17,21,316,1,220,4,2,3,,,8,23,,32,33,22,21,35,174,0,4,4,2,,,8,17,,33,30,22,19,35,164,0,19,62,,235,0,95,,,362,359,13,13,0,1,3,3,0,,1,1,3,,3,,,203,13,9,2,,,203,13,20,2,9,2,8,2,11,2,0,0,0,1,1,0,0,0,0,1,279,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Switzerland","CH",2022,309,25,12,0,0,0,19,19,346,346,19,365,277,19,32,281,1,220,5,2,0,,,27,25,,26,26,34,31,40,209,1,6,1,2,,,6,11,,25,27,12,19,19,119,1,16,62,,309,0,12,,,362,322,3,3,0,0,0,0,3,,3,,3,,3,,0,204,0,2,0,,,204,0,13,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Syrian Arab Republic","SY",2022,1239,390,1318,64,14,43,78,,2947,3068,199,3146,1239,103,0,8,1,221,33,,,70,,,,354,563,308,233,182,151,1791,0,14,,,92,,,,317,243,194,132,107,75,1068,0,209,62,,413,17,37,,,3052,3052,15,15,0,2,16,16,0,,0,,1,16,0,,16,1239,103,16,0,,,428,0,42,0,16,0,15,0,16,1,,,,,,,,,,1,1401,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Tajikistan","TJ",2022,1777,1001,1147,240,64,65,127,38,3925,4294,496,4421,1777,329,0,,1,221,41,,,86,,,,612,566,350,282,267,219,2296,0,35,,,95,,,,347,412,257,195,255,275,1741,0,257,60,3721,,,,,,3903,3663,409,309,86,37,109,91,0,,1,29,1,317,1,110,38,1777,316,416,102,240,102,1565,313,554,138,295,81,290,79,418,109,4,0,0,8,97,0,0,0,0,1,4269,109,99,,,,,116,95,1007,1082,9535,912,1007,1022,1032,0,,,,,,,,,,,113
"Thailand","TH",2022,41748,15711,9751,3402,1172,490,1310,,67210,72274,6374,73584,41206,4267,542,3283,1,220,135,57,97,,,705,1771,,5877,7811,10309,10030,12405,48908,0,90,53,175,,,670,1297,,3217,3193,3904,4009,6469,22759,0,607,60,43552,,,,,,72659,72659,875,874,0,8,50,48,0,,1,7,1,298,1,487,785,30770,3461,550,325,,,14248,1569,1656,278,379,208,291,136,384,26,0,0,0,0,17,0,0,0,9,1,60916,5340,4689,1,396,14,14,4689,,,,,,,,,0,,,,,,,,,,,
"Timor-Leste","TL",2022,2494,2111,545,73,26,0,121,,5150,5249,220,5370,2494,73,0,0,1,221,44,,,66,,,,373,468,338,422,493,665,2759,,42,,,101,,,,419,408,274,315,369,452,2237,,253,60,2328,,,,,,19,19,19,19,19,0,0,0,1,19,1,,1,19,1,19,19,19,0,19,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4813,34,34,,,,,,,,,,,,,,0,,,,,,,,,,,
"Togo","TG",2022,2459,96,341,161,1,0,92,,2896,3058,254,3150,2459,253,0,0,,221,12,,,36,,,,211,391,527,401,223,151,1904,,10,,,35,,,,197,223,252,167,122,100,1061,,93,0,,,,,,,3133,3133,17,15,0,0,0,0,0,,0,,0,,1,15,15,2346,249,11,6,,,36,64,13,12,11,6,10,6,17,0,0,0,0,0,0,0,0,0,0,0,3140,393,387,,,,,375,,,,,,,,,0,,,,,,,,,,,
"Tokelau","TK",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tonga","TO",2022,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,0,0,221,0,,,0,,,,0,0,0,0,0,1,1,0,0,,,0,,,,0,0,0,1,0,0,1,0,0,60,2,,,,,,2,0,0,0,0,0,0,0,0,,0,,0,,0,,0,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Trinidad and Tobago","TT",2022,128,92,11,6,6,0,6,,231,243,18,249,128,12,0,6,1,220,2,0,0,,,4,13,,39,41,36,39,17,189,1,1,0,1,,,5,2,,9,12,6,10,5,49,0,4,60,82,,,,,,249,249,0,0,0,0,0,0,0,,0,,0,,0,,0,77,5,0,0,,,77,5,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,235,29,25,1,4,0,0,,,,,,,,,,0,,,,,,,,,,,
"Tunisia","TN",2022,1026,169,1994,34,4,27,10,,3189,3254,75,3264,1024,42,2,0,1,221,12,,,78,,,,202,282,328,260,237,211,1520,0,15,,,87,,,,263,282,280,242,256,219,1542,0,192,0,,,,,,,3189,3189,14,14,0,0,0,0,0,,0,,1,10,0,,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1476,27,27,,,,,,,,,,,,,,0,,,,,,,,,,,
"Türkiye","TR",2022,4506,1234,3495,287,65,136,128,34,9235,9723,616,9851,4506,349,0,1538,1,220,71,59,50,,,260,549,,761,727,858,1000,1226,5381,1,56,45,111,,,262,407,,647,594,563,565,911,3949,0,392,62,,402,336,12,,,9691,9577,143,128,27,1,12,11,0,,0,,1,56,0,,0,4006,289,115,33,,,3964,280,439,64,113,33,98,26,94,12,0,0,0,0,10,0,0,0,2,1,7860,123,101,,,,,12,12,3908,,,,,,,0,,,,,,,,,,,
"Turkmenistan","TM",2022,746,622,398,228,452,57,881,127,1766,2503,1618,3384,746,504,0,0,1,222,,,,,24,,,148,275,320,325,249,112,1429,0,,,,,17,,,161,248,202,165,162,95,1033,0,41,60,1967,,,,,,2605,2605,514,514,,11,228,228,0,,1,9,1,525,1,208,742,746,504,157,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,161,
"Turks and Caicos Islands","TC",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuvalu","TV",2022,17,3,6,0,0,0,0,,26,26,0,26,17,0,0,0,,221,0,,,1,,,,6,2,2,0,4,2,16,0,0,,,1,,,,1,1,1,1,2,2,8,0,2,61,,,,,26,26,0,0,0,0,0,0,0,0,0,,0,,1,0,0,,0,17,0,0,0,,,17,0,0,0,0,0,0,0,,,,,,,,,,,,1,26,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Uganda","UG",2022,54302,32647,3281,2621,1494,112,1551,,90230,94457,5778,96008,54205,3669,97,2572,1,220,3795,2298,1562,,,1441,2814,,10392,12260,5511,16273,,48691,,3630,2151,1679,,,1480,2831,,7226,6622,2682,9810,,30651,,15115,60,66372,,,,,,95129,95063,761,749,12,40,1,1,0,,0,,1,196,1,565,761,39868,,761,,,,192,91,88,53,96,53,76,43,750,1,0,0,0,0,0,0,0,0,1,1,93088,30300,29535,1,14754,2188,2124,21011,,,,,,,,,0,,,,,,,,,,,
"Ukraine","UA",2022,9668,4046,1366,2752,539,196,999,110,15080,18567,4486,19566,9668,3610,0,11,1,221,63,,,177,,,,424,1937,4282,3691,2137,1077,13548,0,53,,,159,,,,284,770,1119,953,651,790,4567,0,452,60,17693,,,,,,15833,15191,2900,3078,368,123,1009,1080,0,,1,304,1,1996,1,1348,4526,9370,3506,2360,1287,2674,1136,9370,3506,2371,1212,2360,1287,1714,972,3148,1009,2,27,0,3,876,13,0,5,83,1,18324,3328,3069,,,,,3069,1547,12813,,,,,,,0,,,,,,,,,,,2433
"United Arab Emirates","AE",2022,32,5,21,1,0,1,2,,58,60,4,62,32,3,0,0,1,221,1,,,0,,,,7,5,6,7,3,6,34,0,3,,,1,,,,7,2,4,1,2,5,21,0,5,60,29,,,,,,61,61,1,1,0,0,0,0,0,,0,,1,1,0,,0,20,3,1,0,,,14,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1,1,,,,,1,,,,,,,1,1,0,,,,,,,,,,,
"United Kingdom of Great Britain and Northern Ireland","GB",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Republic of Tanzania","TZ",2022,32135,49326,16879,876,694,190,869,,98340,100100,2629,100969,32135,1217,,175,1,220,4840,2256,1761,,,1530,3226,,8836,11181,10491,7028,8550,50842,0,4523,1980,1577,,,1293,2209,,5954,6543,6159,4560,5603,32321,0,16937,60,46813,,,,,,100609,99393,360,302,42,8,1,1,0,,0,,1,175,1,168,310,26763,1083,262,88,,,839,221,80,21,114,25,62,13,121,1,0,0,0,0,0,0,0,0,1,1,99773,16490,16414,1,16902,1218,1214,,,,,,,,,,0,,,,,,,,,,,
"United States of America","US",2022,5387,878,1475,,,,556,,7740,7740,556,8296,5093,398,294,5801,0,220,100,32,42,,,159,319,,693,674,658,769,1274,4546,73,93,28,56,,,131,184,,473,391,362,405,741,2687,57,351,60,5863,,,,,,8191,5942,95,91,,3,10,5,1,21,1,12,1,,3,,96,4599,332,73,19,,,4550,324,356,57,71,19,59,15,35,8,0,0,0,0,2,0,0,0,6,1,6433,287,,1,231,0,,,,,,,,,,,0,,,,,,,,,,,
"Uruguay","UY",2022,674,220,119,91,20,2,48,,1013,1126,161,1174,674,130,0,12,1,221,13,,,23,,,,88,173,155,123,93,91,723,0,11,,,16,,,,61,61,63,60,43,52,340,0,63,62,,656,119,113,,,1168,1094,3,2,2,1,0,0,0,,0,,0,,1,4,4,566,78,3,0,,,506,64,5,2,2,0,0,0,2,0,,,,,,,,,,1,964,148,45,1,63,0,0,148,45,882,,,,,,,0,,,,,,,,,,,
"Uzbekistan","UZ",2022,5111,2305,5173,1162,222,329,1872,505,12589,14302,3585,16174,5111,2094,,0,1,220,186,384,262,,,264,409,,983,1187,1308,1400,1269,6820,0,115,282,260,,,249,343,,937,855,837,1166,1606,5993,0,1489,60,13730,,,,,,13890,13890,1660,1660,167,95,457,457,0,,1,145,1,1957,1,182,327,833,718,807,693,412,411,,,,,,,,,,,,,,,,,,,,0,16174,538,413,,,,,,,,,,,,,,,,,,,,,,,,,
"Vanuatu","VU",2022,58,3,23,0,0,0,0,,84,84,0,84,0,0,58,0,,221,2,,,5,,,,7,8,11,9,8,6,49,0,1,,,2,,,,8,9,0,3,2,3,25,0,10,62,,55,1,0,,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Venezuela (Bolivarian Republic of)","VE",2022,6779,1347,1213,515,0,11,209,,9339,9865,735,10074,6779,724,0,29,1,220,92,72,98,,,266,800,,1893,955,672,642,614,5842,0,78,78,89,,,252,403,,813,565,454,462,567,3516,0,507,60,1120,,,,,,9990,9990,72,72,0,2,12,12,0,,0,,1,68,1,16,84,648,509,4,80,,,67,115,1,36,4,80,1,32,70,12,0,0,0,0,0,0,0,0,12,1,4876,426,426,1,290,16,13,,,,,,,,,,0,,,,,,,,,,,
"Viet Nam","VN",2022,61980,17218,17001,5304,705,271,1325,,96199,102479,7605,103804,61954,6236,26,14,1,221,156,,,324,,,,4835,9187,12523,15989,15894,14324,72752,,118,,,384,,,,3559,5538,4506,4013,4618,6469,28703,,982,60,71279,,,,,,100227,100227,3577,3247,0,19,473,189,1,103,1,40,1,1335,1,2061,,61411,4780,2842,735,2441,487,,2072,,894,,708,,614,2581,473,0,1,0,5,90,0,0,5,372,1,87725,2198,1654,,,,,,1468,16340,15030,171193,7998,16340,,,0,,,,,,,,,,,
"Wallis and Futuna Islands","WF",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen","YE",2022,2938,2992,4170,139,56,32,61,,10100,10327,288,10388,2938,164,0,,,221,274,,,381,,,,1035,1220,807,662,625,534,4883,0,246,,,338,,,,971,944,723,615,495,457,4205,0,1239,60,,,,,,,,,68,68,0,1,2,2,0,,1,5,1,60,1,3,0,1122,78,25,39,,,1122,78,19,10,25,39,7,10,64,5,0,0,0,0,0,0,0,0,5,1,2617,35,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Zambia","ZM",2022,22803,22271,2876,2222,3720,235,721,,47950,54127,6898,54848,22803,2943,,,1,221,1631,,,1372,,,,2780,7647,8543,5899,2936,3028,30833,,1503,,,1290,,,,2272,3773,3973,3126,2058,2296,17498,,5796,60,38112,,,,,,54489,54489,359,359,1,11,3,3,0,,0,,1,338,1,25,363,16092,1620,301,58,1334,52,212,21,46,14,32,18,25,12,44,2,0,0,0,0,0,0,0,0,2,0,52564,16866,16334,1,5453,752,730,,,,,,,,,,0,,,,,,,,,,,
"Zimbabwe","ZW",2022,9696,6655,1287,318,223,43,417,,17638,18222,1001,18639,9669,419,27,0,1,220,291,150,133,,,313,768,,2818,3671,1881,796,1020,11267,0,261,120,154,,,268,584,,1399,1429,974,594,598,5846,0,1109,60,18222,,,,,,18309,18309,237,220,0,5,5,4,0,,0,,1,4,1,220,180,9619,419,170,72,318,72,,,,,,,,,163,5,0,0,0,1,4,0,0,0,0,1,18198,9202,8784,1,1110,336,311,,,,,,,,234197,293574,0,,,,,,,,,,,
