"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","conf_rr_nfqr","conf_rr_fqr","unconf_rr_nfqr_tx","conf_rr_nfqr_tx","rrmdr_014_tx","conf_rr_fqr_tx","mdrxdr_bdq_used","mdrxdr_bdq_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Croatia","HR",2021,129,15,5,3,1,1,3,0,149,154,8,157,103,6,26,0,1,220,0,0,0,,,3,2,,6,12,18,31,28,100,0,0,0,0,,,1,2,,0,6,7,10,28,54,0,0,60,0,,,0,0,0,0,0,0,,,,,,,,62,4,0,0,,,62,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuba","CU",2021,329,102,46,26,3,3,11,,477,509,43,520,329,37,0,1,1,220,3,1,1,,,4,12,,66,59,114,71,51,377,,1,1,3,,,9,8,,23,20,18,19,25,122,,10,60,48,,,2,0,,,,,0,,0,,0,,1,133,19,1,1,,,111,14,1,3,1,1,0,0,2,0,,,,,,,,,,1,509,27,27,1,0,0,0,27,27,1656,754,29689,754,1656,,,0,,,,,,,,,,,
"Curaçao","CW",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cyprus","CY",2021,34,2,10,2,0,0,0,0,46,48,2,48,33,2,1,46,1,220,0,0,0,,,4,3,,7,4,2,3,0,23,0,0,0,0,,,1,3,,11,5,4,1,0,25,0,0,60,21,,,3,0,0,3,0,0,,,,,,,,29,2,3,0,,,29,2,7,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Czechia","CZ",2021,267,31,34,16,3,1,5,0,332,352,25,357,267,20,0,132,1,220,4,1,2,,,5,7,,32,42,59,50,53,248,0,3,1,1,,,2,9,,18,15,12,11,25,92,0,12,60,264,,,8,2,0,6,0,2,1,8,1,6,0,,8,239,15,9,0,,,239,15,20,1,9,0,9,0,7,2,0,0,0,0,2,0,0,0,0,0,212,7,,,,,,,,,,,,,,,0,,,,,,,,,139891,3061,34
"Democratic People's Republic of Korea","KP",2021,26269,36645,17539,6960,0,0,6184,,80453,87413,13144,93597,26269,13144,0,0,1,221,416,,,2237,,,,5393,9539,13319,14223,7518,2422,52414,0,316,,,1481,,,,3727,5938,8068,7481,3901,1434,30549,0,4450,0,,,,270,0,0,815,0,0,1,815,1,712,1,103,815,0,477,0,270,0,0,,,,,,,,,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Democratic Republic of the Congo","CD",2021,128141,44171,36867,2919,1737,573,1379,,209179,214408,6608,215787,128141,3705,0,,1,221,4184,,,9622,,,,18187,23989,24340,18988,13646,8348,107498,60,3511,,,9456,,,,15706,17515,16994,13408,10241,6152,80016,61,26773,60,20148,,,1236,25,0,1125,59,17,1,690,1,29,1,644,824,28577,3016,653,583,2292,161,235,218,188,167,235,218,188,167,583,25,0,0,0,0,0,0,0,0,25,0,167052,13373,10990,0,,,,10990,6459,96516,,,55640,96516,,,0,,,,,,,,,,,
"Denmark","DK",2021,117,23,51,,,,17,2,191,191,17,208,117,14,0,147,1,220,1,1,1,,,5,5,,24,17,19,19,19,108,0,2,0,1,,,8,3,,12,16,18,9,11,77,0,6,60,183,,,0,1,0,0,0,0,,,,,,,,113,12,1,0,,,113,12,7,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Djibouti","DJ",2021,789,152,771,87,,,,,1712,1799,87,1799,789,87,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,0,26,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1093,30,15,,,,,40,21,210,,,71,208,,,0,,,,,,,,,,,
"Dominica","DM",2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
