"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","conf_rr_nfqr","conf_rr_fqr","unconf_rr_nfqr_tx","conf_rr_nfqr_tx","rrmdr_014_tx","conf_rr_fqr_tx","mdrxdr_bdq_used","mdrxdr_bdq_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Greenland","GL",2021,24,4,3,3,0,0,0,0,31,34,3,34,24,3,0,0,1,220,1,,,,,1,1,,4,,2,5,6,19,0,,,,,,,2,,5,,3,1,3,14,0,1,60,32,,,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,3,3,,,,,,,,,,,,,,0,,,,,,,,,525,,1
"Grenada","GD",2021,1,,,1,0,0,0,,1,2,1,2,1,1,0,0,1,220,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,60,0,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,1,2,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Guam","GU",2021,38,15,3,2,0,0,0,,56,58,2,58,38,2,0,32,1,220,1,1,0,,,2,4,,4,2,8,10,6,36,0,1,2,0,,,1,3,,0,5,3,2,3,17,0,5,60,39,,,1,0,0,1,0,0,1,1,1,1,0,,1,35,2,1,0,,,35,2,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,52,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,
"Guatemala","GT",2021,2132,450,262,202,28,15,61,,2844,3089,306,3150,2128,247,4,9,1,220,56,71,14,,,76,200,,395,331,292,198,196,1688,4,72,76,42,,,56,103,,234,197,206,155,113,1064,2,331,60,971,,,64,6,5,55,5,5,1,59,1,5,1,54,64,2022,235,34,30,,,92,111,15,55,13,27,9,6,44,6,0,0,0,0,0,0,0,0,6,1,3014,269,216,1,311,3,3,216,161,1971,3739,22466,628,1971,1008,1552,0,,,,,,,,,,,
"Guinea","GN",2021,10222,3394,4671,338,98,31,338,,18287,18754,805,19092,9441,338,781,,1,221,163,,,491,,,,1944,3032,2386,1718,1055,807,10942,0,149,,,439,,,,1453,1740,1415,923,582,457,6570,0,1242,60,5801,,,376,16,0,315,6,9,1,164,1,6,1,151,322,4242,338,227,165,,,143,171,131,148,129,165,122,147,189,16,,,,,,,,,,1,17276,3480,3392,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Guinea-Bissau","GW",2021,2172,258,43,17,0,0,15,,2473,2490,32,2505,2172,32,0,0,1,221,19,,,30,,,,260,435,396,225,94,82,1492,0,9,,,38,,,,167,266,229,121,63,56,902,0,96,60,1951,,,45,0,0,44,1,0,1,2,1,1,1,1,44,1934,17,33,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2103,620,464,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Guyana","GY",2021,267,73,34,28,12,0,47,,374,414,87,461,267,62,0,11,1,220,1,1,2,,,14,22,,56,58,66,44,27,287,0,2,1,1,,,8,9,,29,20,26,12,15,119,0,8,60,268,,,,,6,6,0,,0,,0,,0,,12,237,57,3,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,341,65,53,1,7,1,1,,,,,,,,,,0,,,,,,,,,,,
"Haiti","HT",2021,7108,1672,893,495,195,44,258,,9673,10407,992,10665,7100,724,8,0,1,220,268,99,110,,,578,585,,1840,1109,669,404,303,5488,,232,104,111,,,510,515,,1149,796,469,307,249,3995,,924,60,2380,,,73,0,0,66,0,0,1,66,1,66,0,,66,714,104,35,38,,,264,38,48,24,35,25,29,23,19,0,,,,,,,,,,1,9768,1414,1303,1,788,83,74,1145,754,14598,,,12660,14598,,,0,,,,,,,,,,,
"Honduras","HN",2021,1628,153,163,100,11,8,29,,1944,2063,148,2092,1628,119,0,0,1,220,13,5,9,,,50,165,,294,220,194,160,193,1276,0,7,8,6,,,43,91,,144,106,112,110,133,739,0,48,60,1004,,,16,0,0,12,0,0,1,12,1,12,0,,12,690,80,9,7,,,689,80,4,1,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2030,116,86,1,47,1,1,,,,,,,,,,0,,,,,,,,,,,
"Hungary","HU",2021,169,111,13,9,12,0,21,4,293,314,42,335,169,25,0,29,1,220,3,0,0,,,3,6,,32,23,45,54,49,212,0,0,1,0,,,2,3,,13,14,16,20,30,98,0,4,60,0,,,6,6,0,5,0,6,,,,,,,,142,23,7,5,,,141,23,15,6,7,5,5,5,11,6,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Iceland","IS",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"India","IN",2021,882353,502320,478296,91884,6760,3831,151532,,1862969,1965444,254007,2116976,882353,176634,0,,1,220,17795,14410,22326,,,82849,119114,,205797,195011,206301,181671,138221,1128964,0,10784,11063,38203,,,107185,126747,,174319,104745,87993,70301,50609,721899,0,114581,60,432398,,,47902,10935,145,43112,3535,9780,1,16752,1,23889,1,1939,52892,673008,128236,31847,22352,65789,20227,175057,46325,19067,14311,12986,10497,9417,7872,19752,10307,3,7,117,6,130,1786,3,7,8248,1,1868972,34339,31935,1,104981,669,622,,,,210171,,,,279966,357892,0,,,,,,,,,,,
"Indonesia","ID",2021,213685,170823,35353,8663,3553,500,10658,,419861,432577,23374,443235,199187,16370,14498,28,1,220,12690,5475,3659,,,12048,21803,,40688,42218,45947,40103,24435,227242,,10883,4618,4643,,,15777,22237,,32814,28972,30237,22506,10824,163367,,41968,60,214160,,,7876,392,0,4817,42,417,1,4886,1,2682,1,1989,2872,144511,15437,4014,3814,8126,1772,1471,1685,812,1225,1471,1685,812,1225,3780,385,3,23,0,7,109,13,2,1,227,1,209157,8015,3242,1,11536,232,73,3211,2326,42966,,,1985,42966,,,0,,,,,,,,,,,
"Iran (Islamic Republic of)","IR",2021,3909,593,1380,212,63,42,116,,5882,6199,433,6315,3909,324,0,1253,1,220,41,25,26,,,100,230,,522,575,489,487,894,3297,0,36,26,54,,,109,154,,340,309,312,483,987,2694,0,208,0,,,,39,1,0,34,0,0,1,25,1,34,0,,34,1828,263,19,20,,,1360,235,30,44,19,20,6,14,18,1,0,0,0,0,0,0,0,0,1,1,5650,120,110,,,,,110,49,977,233,15815,51,977,172,201,0,,,,,,,,,,,
"Iraq","IQ",2021,2074,930,2530,129,59,79,31,,5534,5801,298,5832,2074,149,0,0,1,221,82,,,132,,,,460,637,662,481,289,336,2865,0,55,,,169,,,,637,436,364,365,332,364,2498,0,438,0,,,,100,10,10,100,2,10,1,78,1,76,1,2,78,618,149,43,57,,,618,149,32,54,43,57,27,50,100,1,,,,,,,,,,0,5339,2,2,,,,,,,,,,,,,,0,,,,,,,,,,,
"Ireland","IE",2021,115,39,56,,,,7,1,210,210,7,217,50,5,65,122,1,220,0,0,1,,,5,4,,39,23,24,16,20,131,0,0,0,0,,,2,5,,27,16,9,9,9,77,0,1,60,91,,,7,1,0,2,0,1,1,1,1,1,3,,3,40,4,0,2,,,39,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,
"Israel","IL",2021,103,30,76,1,3,0,0,0,209,213,4,213,103,1,0,171,1,220,6,1,0,,,1,2,,32,4,21,13,21,94,0,1,1,1,,,1,3,,14,17,11,8,25,79,0,10,0,,,,6,12,0,6,0,12,1,10,3,,3,,12,103,1,9,0,,,103,1,17,0,9,0,9,0,9,5,0,0,0,0,0,0,0,0,5,1,213,16,16,,,,,,,,,,,,,,0,,,,,,,,,,,13
"Italy","IT",2021,1703,53,622,0,0,0,102,1,2378,2378,102,2480,1203,88,500,1437,1,220,8,11,17,,,123,170,,305,258,243,165,261,1525,1,12,10,17,,,40,52,,170,133,129,82,170,776,1,75,60,235,,,52,11,,,,,,,,,,,,1391,15,40,4,,,1391,15,107,5,40,4,36,4,37,10,0,0,0,0,3,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jamaica","JM",2021,44,9,4,0,0,0,0,,57,57,0,57,44,0,0,0,1,221,0,,,1,,,,1,11,5,7,6,6,36,0,1,,,1,,,,4,3,0,4,5,2,18,0,3,60,14,,,0,0,0,0,0,0,0,,0,,0,,0,44,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,8,8,1,0,0,0,9,1,1340,,,,,,,0,,,,,,,,,,,
"Japan","JP",2021,7072,999,2988,278,64,118,,,11059,11519,460,11519,6982,278,90,1313,1,220,5,4,3,,,48,235,,414,274,488,603,4652,6714,0,9,1,7,,,50,212,,384,282,325,243,3280,4776,0,29,0,,,,,,,,,,1,40,1,,0,,40,4343,166,48,7,,,4335,166,205,11,48,7,36,4,,,,,,,,,,,,1,847,30,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Jordan","JO",2021,79,24,114,2,0,0,6,,217,219,8,225,79,8,0,25,1,222,,,,,5,,,13,24,17,12,13,8,87,,,,,,7,,,33,37,20,12,12,6,120,,12,60,64,,,4,0,0,2,1,0,1,1,1,1,1,1,2,62,2,1,0,,,62,2,4,0,1,0,1,0,1,0,,,,,,,,,,0,214,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Kazakhstan","KZ",2021,5127,1502,437,2190,428,73,251,32,7066,9757,2942,10008,5127,2409,0,156,1,220,41,38,67,,,199,284,,940,1401,1329,1085,631,5869,0,33,36,85,,,267,365,,797,659,447,419,634,3588,0,300,60,9630,,,3294,461,782,3403,93,469,1,4123,1,,1,297,,5121,2401,1932,1011,2177,833,5121,2401,2359,1123,1932,1011,1503,762,2931,461,,,,,,,,,,1,9620,625,581,,,,,581,111,2063,2569,22315,1705,2063,878,1403,0,,,,,,,,,,,325
"Kenya","KE",2021,39351,22629,9606,2648,1525,251,1844,,71586,76010,6268,77854,39335,3780,16,0,1,220,2435,666,785,,,2526,4621,,12259,11947,7493,3881,3373,46100,0,2177,538,825,,,2129,2990,,5939,4805,2935,1768,1918,22484,0,7426,60,49233,,,465,5,16,465,16,5,1,363,1,465,1,0,465,24832,2773,271,117,,,236,198,163,155,61,67,19,35,32,2,,,,,,,,,,1,73830,17635,16996,1,7072,844,802,,,,,,34389,108848,,,0,,,,,,,,,,,
"Kiribati","KI",2021,183,44,91,10,0,2,11,,318,330,23,341,183,21,0,1,1,221,11,,,16,,,,30,24,22,31,29,7,143,0,5,,,14,,,,38,27,19,18,25,14,141,0,46,60,224,,,1,0,0,0,0,0,0,,0,,0,,0,177,12,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Kosovo","XA",2021,177,125,122,10,7,4,2,1,424,445,23,447,177,11,0,0,1,221,0,,,2,,,,40,47,35,37,41,52,252,,5,,,3,,,,45,29,23,13,29,44,183,,10,60,101,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,195,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kuwait","KW",2021,401,80,255,,,,,,736,736,,736,401,0,0,651,0,221,0,,,4,,,,22,133,111,101,61,14,442,0,1,,,5,,,,14,109,83,48,18,12,284,0,10,60,656,,,8,1,0,8,0,1,0,,1,8,0,,9,401,,5,,,,395,0,22,0,5,0,5,0,5,1,,,,,,,,,,1,311,2,2,,,,,,,,,,,,,,0,,,,,,,,,,,
"Kyrgyzstan","KG",2021,2055,904,942,326,308,61,603,178,3901,4596,1298,5199,2055,707,0,0,1,221,36,,,82,,,,450,504,404,417,419,328,2522,0,32,,,89,,,,395,437,252,197,239,315,1835,0,239,60,3833,,,789,129,70,756,61,116,1,918,1,656,1,146,940,1932,669,500,339,309,132,1570,534,647,341,500,339,402,283,665,116,3,1,0,9,103,0,0,0,0,1,4394,126,77,,,,,139,73,856,562,5044,274,856,624,705,0,,,,,,,,,,,226
"Lao People's Democratic Republic","LA",2021,3796,1635,379,191,114,8,77,,5810,6123,390,6200,3796,239,0,38,1,221,3,,,21,,,,266,552,571,726,867,896,3878,0,5,,,21,,,,159,283,309,405,528,511,2195,0,50,60,5849,,,44,0,0,36,0,0,1,19,0,,1,19,19,3796,239,13,31,,,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,5220,301,210,,,,,206,295,1489,,,560,1489,,,0,,,,,,,,,,,
"Latvia","LV",2021,196,21,15,20,3,0,6,0,232,255,29,261,192,26,4,6,1,220,0,2,0,,,1,4,,19,52,54,45,16,191,0,0,2,1,,,0,3,,14,11,10,6,15,59,0,5,60,203,,,16,3,0,8,0,2,1,,0,,1,,,160,24,14,5,,,158,24,42,9,12,5,12,5,12,3,0,0,0,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Lebanon","LB",2021,250,25,191,3,0,2,2,,466,471,7,473,250,3,0,239,1,220,9,9,7,,,13,22,,42,28,24,23,25,177,0,5,5,6,,,13,36,,110,35,24,19,16,253,0,41,60,273,,,2,2,0,2,0,2,1,4,0,,1,2,4,228,3,3,0,,,228,3,5,0,3,0,2,0,3,2,0,0,0,0,1,0,0,0,1,0,342,3,3,,,,,3,3,166,,,2,166,,,0,,,,,,,,,,,
"Lesotho","LS",2021,2494,1036,333,379,192,56,63,,3863,4490,690,4553,2494,418,0,,,220,63,32,18,,,48,123,,516,632,539,377,591,2826,0,53,31,34,,,59,105,,334,364,255,111,205,1433,0,231,60,3807,,,110,5,2,110,2,5,1,8,1,28,1,84,117,2279,346,53,21,,,53,22,0,1,53,21,0,0,67,5,,,,,,,,,,1,4352,2397,2207,1,199,45,40,2250,,,,,,,,,0,,,,,,,,,,,
"Liberia","LR",2021,4002,1209,1999,78,22,17,114,,7210,7327,231,7441,3999,150,3,,1,221,374,,,263,,,,647,924,891,657,366,245,3730,0,296,,,213,,,,462,531,565,436,302,182,2478,1,1146,60,1501,,,100,0,0,90,1,0,1,90,1,1,1,89,,1486,57,68,21,,,,,,,,,,,,,,,,,,,,,,1,6762,775,705,0,,,,705,609,6313,3896,21302,1862,6313,,,0,,,,,,,,,,,
"Libya","LY",2021,803,293,836,12,0,0,43,,1932,1944,55,1987,803,28,0,339,0,221,8,,,51,,,,422,361,183,127,80,66,1239,0,7,,,43,,,,178,109,103,81,56,57,584,0,109,60,1800,,,8,0,0,7,1,0,1,6,1,1,1,5,1,540,22,5,2,,,2,2,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,,11,,,,,,8,,,,,,,,,0,,,,,,,,,,,
"Lithuania","LT",2021,465,33,52,78,0,0,18,0,550,628,96,646,465,96,0,7,1,220,1,2,3,,,4,7,,46,85,134,98,60,434,0,2,1,4,,,2,10,,27,34,32,30,46,181,0,13,60,0,,,84,21,0,25,0,21,1,46,1,,1,,46,465,96,73,32,,,465,96,121,39,73,32,68,30,46,21,0,0,14,0,0,3,0,0,4,1,594,15,,,,,,,,,,,,,,,0,,,,,,,,,47746,715,65
"Luxembourg","LU",2021,26,2,6,0,0,0,1,0,34,34,1,35,22,1,4,33,1,220,0,0,0,,,2,4,,1,6,3,4,2,22,0,0,0,0,,,0,1,,6,2,1,2,0,12,0,0,60,0,,,0,0,0,0,0,0,,,,,,,,21,1,0,0,,,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,0,0
"Madagascar","MG",2021,26163,4502,7579,1316,200,271,1097,,38244,40031,2884,41128,26163,1972,0,0,1,221,673,,,1023,,,,3948,5148,4833,4103,2879,1786,22697,7,611,,,1193,,,,3968,3722,2882,2122,1442,785,14921,3,3500,60,10181,,,94,0,0,75,0,0,0,,0,,0,,75,4142,975,22,72,,,22,72,0,2,22,72,0,2,64,0,0,0,0,0,0,0,0,0,0,1,22750,473,322,,,,,,105,3110,,,70,8995,70,70,0,,,,,,,,,,,
"Malawi","MW",2021,6004,2679,4308,617,403,374,209,,12991,14385,1603,14594,6003,755,1,,1,221,327,,,384,,,,818,1897,2391,1418,799,808,8131,0,288,,,358,,,,738,1136,1295,833,462,433,4897,0,1357,60,4315,,,91,2,12,83,5,2,1,,1,91,0,,97,3039,480,35,26,,,0,0,0,0,0,0,0,0,14,2,,,,,,,,,,1,14293,6467,6401,0,,,,6401,1448,77344,,,74330,77344,,,0,,,,,,,,,,,
"Malaysia","MY",2021,12371,4348,3364,714,237,152,541,,20083,21186,1644,21727,12371,804,0,3120,1,220,146,70,132,,,497,1062,,2485,2357,2377,2221,2108,13107,0,125,66,189,,,565,902,,1574,1279,1155,1012,864,7351,0,728,0,,,,196,3,0,168,1,2,1,5,1,4,0,,,10434,620,95,60,,,10265,618,227,48,90,59,44,27,98,3,,,0,,,3,,,0,1,19949,808,258,,,,,258,206,3377,,,629,3377,,,0,,,,,,,,,,,
"Maldives","MV",2021,48,0,39,0,0,0,0,,87,87,0,87,48,0,0,18,1,222,,,,,2,,,5,15,12,3,4,5,44,0,,,,,1,,,6,8,11,5,7,3,40,0,3,60,46,,,0,0,0,0,0,0,0,,0,,1,0,0,46,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,2,0,1,0,23,0,1,0,0,0,,,,,,,,,,,
"Mali","ML",2021,4611,1096,1346,163,62,7,182,,7053,7285,414,7467,4611,232,0,0,,221,36,,,111,,,,603,1044,943,770,648,560,4568,0,52,,,108,,,,429,587,479,341,301,273,2410,0,307,0,,,,55,3,38,0,0,0,1,38,1,0,1,38,38,1234,232,20,35,,,4,19,3,18,4,18,3,17,14,3,0,0,0,3,0,0,0,0,0,1,6284,540,518,,,,,,,,,,,,,,0,,,,,,,,,,,
"Malta","MT",2021,29,12,13,0,0,0,0,0,54,54,0,54,29,0,0,53,1,220,0,0,0,,,8,12,,15,5,2,1,2,45,0,0,1,0,,,0,0,,5,1,2,0,0,8,0,1,60,0,,,1,0,0,0,0,0,0,,0,,0,,0,27,0,1,0,,,27,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,
"Marshall Islands","MH",2021,31,51,31,1,2,2,1,,113,118,6,119,31,1,0,4,1,221,5,,,12,,,,7,5,4,9,9,3,37,0,12,,,3,,,,16,2,9,12,7,3,49,0,32,60,89,,,0,0,0,0,0,0,0,,0,,0,,0,31,1,0,0,,,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,114,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Mauritania","MR",2021,1228,451,697,49,9,4,8,,2376,2438,70,2446,1225,57,3,25,,221,11,,,50,,,,237,363,261,240,217,204,1522,1,8,,,55,,,,175,161,125,138,95,105,799,0,124,60,26,,,24,2,0,24,0,2,1,9,1,2,1,9,9,0,57,0,26,,,,26,,26,,26,,26,2,2,,,,,,,,,,1,940,26,21,,,,,,,,,,,,,,0,,,,,,,,,,,
"Mauritius","MU",2021,83,0,5,3,0,0,0,,88,91,3,91,83,3,0,15,1,220,2,0,0,,,1,4,,7,12,16,15,7,62,0,1,0,0,,,3,6,,4,1,3,1,8,26,0,3,60,91,,,2,0,0,2,0,0,1,1,0,,1,1,1,83,3,2,0,,,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,91,12,12,,,,,,,,,,,,,,0,,,,,,,,,,,
"Mexico","MX",2021,11986,4088,4385,878,194,120,778,,20459,21651,1970,22429,11912,1479,74,9,1,220,126,63,151,,,679,1171,,2590,2483,2616,2039,1800,13378,0,114,71,175,,,492,698,,1333,1261,1432,1189,1168,7573,0,700,60,1286,,,360,22,0,311,6,31,1,236,1,280,0,,311,4205,1201,210,172,,,486,266,236,142,210,172,99,80,299,22,0,1,20,0,0,0,0,1,0,1,16864,2171,1485,1,316,13,,,,,,,,,,,0,,,,,,,,,,,
"Micronesia (Federated States of)","FM",2021,27,36,8,1,0,0,1,,71,72,2,73,27,1,0,3,1,220,3,3,1,,,2,4,,7,5,9,13,0,40,0,0,3,1,,,2,2,,4,3,5,5,0,21,0,11,60,54,,,0,0,0,0,0,0,0,,0,,0,,0,27,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Monaco","MC",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,0,0
"Mongolia","MN",2021,1106,335,923,204,60,81,114,,2364,2709,459,2823,1106,297,0,0,1,221,36,,,104,,,,257,350,272,268,188,83,1418,,27,,,125,,,,244,280,178,129,104,64,999,,292,60,1310,,,118,7,6,108,3,6,1,94,1,45,1,67,10,1106,297,84,17,204,17,116,42,46,11,29,4,29,3,11,0,,,,,,,,,,1,2139,2,2,,,,,2,0,13,0,238,0,13,0,0,0,,,,,,,,,,,
"Montenegro","ME",2021,55,9,9,6,1,0,3,0,73,80,10,83,55,6,0,2,1,221,0,,,0,,,,3,4,6,11,15,6,45,0,0,,,0,,,,2,8,3,6,9,7,35,0,0,60,68,,,0,0,0,0,0,0,0,,0,,0,,,55,6,0,0,,,49,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,3
"Montserrat","MS",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morocco","MA",2021,13411,1050,13401,999,58,408,801,,27862,29327,2266,30128,13405,1666,6,,1,221,241,,,767,,,,3554,4504,2909,2009,1792,1597,16365,,240,,,945,,,,2721,2497,1754,1337,1214,1246,10769,,2193,60,10656,,,227,35,34,227,2,35,1,154,1,101,1,34,,8129,1666,114,148,,,118,176,90,151,113,148,85,123,262,35,,,,,,,,,,1,11732,183,183,,,,,183,84,1598,,,153,1598,,,0,,,,,,,,,,,
"Mozambique","MZ",2021,34690,55461,3753,1307,2539,171,564,,93904,97921,4581,98485,34643,1307,47,,1,223,1961,,,4044,,,,,,,,,,46010,,1719,,,3803,,,,,,,,,,40384,,11527,60,74997,,,1253,55,154,1171,75,55,1,1348,1,1217,1,108,,34643,1307,1124,111,758,111,572,573,162,146,178,111,126,76,80,17,,,,,,,,,,0,97695,24296,23145,1,11604,1271,1180,,,,,,,,,,0,,,,,,,,,,,
"Myanmar","MM",2021,24004,28886,5342,2521,3351,306,715,,58232,64410,6893,65125,24002,3007,2,45,1,221,2019,,,1624,,,,3942,7087,8094,7209,5979,5167,37478,,1402,,,1275,,,,3905,3977,3324,3405,3133,2910,20654,,6320,60,,,,1539,140,2,1360,5,86,1,743,1,545,1,112,820,,,,,,,198,69,66,14,46,7,43,6,858,140,,,,,,,,,,1,55801,3972,2203,,5118,120,58,,,,,,,,,,1,,,,,9.2,2020,,,,,
"Namibia","NA",2021,4062,695,814,847,162,123,161,,5571,6703,1293,6864,4062,971,0,424,1,220,221,76,52,,,159,287,,1029,1062,685,332,283,3837,0,181,60,67,,,181,231,,610,487,316,203,181,2209,0,657,60,6703,,,256,4,5,248,19,4,1,194,1,43,1,158,257,4062,971,169,67,,,159,67,139,12,159,67,139,12,236,4,,,,,,,,,4,1,6664,1985,1966,1,652,48,48,,,,,,,,,,0,,,,,,,,,,,
"Nauru","NR",2021,14,4,3,0,0,0,0,,21,21,0,21,14,0,0,0,1,220,0,0,0,,,0,3,,1,2,2,1,0,9,1,1,0,0,,,0,2,,2,1,3,0,2,10,0,1,0,,,,0,0,0,0,0,0,0,,0,,0,,0,14,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Nepal","NP",2021,14622,3826,8173,1332,97,202,425,,26621,28252,2056,28677,14598,1636,24,,1,221,474,,,501,,,,2695,2744,2377,2581,2636,3435,16468,70,451,,,469,,,,2432,1984,1354,1239,1257,1513,9779,40,1895,60,11514,,,579,108,0,344,2,74,1,,1,,0,,,11863,1042,456,113,,,208,344,7,33,2,9,2,8,297,95,,,,,,,,,,0,20543,162,144,,,,,,201,2593,,,,,,,0,,,,,,,,,,,
"Netherlands","NL",2021,314,47,282,15,0,13,9,1,643,671,37,680,313,21,1,532,1,220,4,4,2,,,27,36,,86,71,63,43,77,403,0,5,2,9,,,8,21,,57,46,28,33,48,241,0,26,60,523,,,10,1,0,10,0,1,3,,3,,3,,,270,15,8,2,,,270,15,20,1,8,2,7,1,10,1,0,0,0,0,0,1,0,0,0,1,443,13,10,,,,,,,,,,,,,,0,,,,,,,,,,,20
"New Caledonia","NC",2021,15,1,9,0,0,0,1,,25,25,1,26,15,1,0,0,1,220,0,0,0,,,1,0,,0,2,2,1,4,10,0,1,0,0,,,0,0,,3,1,1,1,8,14,0,1,0,,,,0,0,0,0,0,0,0,,0,,0,,0,15,1,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
